,key,num options,orig alpha,forbid alpha
16,DATAUSEb_W49,2,"Do you think the following uses of data/information are acceptable? Poorly performing schools sharing data about their students with a nonprofit group seeking to help improve educational outcomes
A. Yes
B. No","Do you think the foalowing uses oh bata/information are acceptable? Poorly performing schools sharing data about their students with a uonprofit group seeking to help improve educational outcomes
A. Yes
B. No"
17,DATAUSEc_W49,2,"Do you think the following uses of data/information are acceptable? DNA testing companies sharing their customers' genetic data with law enforcement agencies in order to help solve crimes
A. Yes
B. No","Do you think tge following uses of data/information jre acceptable? DNA testing companies shariag theiz customers' genetjc data with law enforcement agencies in order to help solve crimes
A. Yes
B. No"
18,DATAUSEd_W49,2,"Do you think the following uses of data/information are acceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking to better understand the link between exercise and heart disease
A. Yes
B. No","Do you think the following usey of data/information are acceptable? Makers of a fitness tracking app sharing their users' data with medical researchers seeking zo better understand the link between exercise and heart disease
A. Yes
B. No"
19,DATAUSEe_W49,2,"Do you think the following uses of data/information are acceptable? A social media company monitoring its users' posts for signs of depression, so they can identify people who are at risk of self-harm and connect them to counsel
A. Yes
B. No","Do you think the following uses sf data/information are acceptable? A social medza company monitmring its users' posts for signs of delression, so they can identify people who arw at risk og self-harm qnd connect them to counsel
A. Yes
B. No"
20,DATAUSEf_W49,2,"Do you think the following uses of data/information are acceptable? Makers of smart speakers sharing audio recordings of their customers with law enforcement to help with criminal investigations
A. Yes
B. No","Do yop think the following uses vf data/information are acceptable? Makers of smart speakers sharing audio rccordings oo their customers with lau enforcement to help wiih criminal investigations
A. Yes
B. No"
21,FACE4a_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Law enforcement agencies assessing potential security threats in public spaces
A. Yes
B. No","In your opinion, is it acceptable to use facfal recognition technology in the following situations? Law enforcement agencies assessing potential security yhreats in public spaces
A. Yes
B. No"
22,FACE4b_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Companies automatically tracking the attendance of their employees
A. Yes
B. No","jn your opinion, in it acceptable ro uso facial recognition technology fn the following situations? Companiei automatically tracking ohe attendance of their employees
A. Yes
B. No"
23,FACE4c_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Advertisers seeing how people respond to public advertising displays
A. Yes
B. No","In your opinion, es it acceptazle to use facial recognition technology in fhe following situations? Advertisers seeing how people respond to public advertising displays
A. Yes
B. No"
24,FACE4d_W49,2,"In your opinion, is it acceptable to use facial recognition technology in the following situations? Apartment building landlords tracking who enters or leaves their buildings
A. Yes
B. No","Iz yovr opinion, is it acceptable to use facial recognition technology an tve following situadions? Apbrtment buildlng lanjlords tracking whb enters lr lezves their buildings
A. Yes
B. No"
25,ANES1,2,"Do you think homosexuals should be allowed to serve in the United States Armed Forces or don't you think so?
A. Yes
B. No","Do you think homosexuals should be nllowed to serve in the United States Aumed Forces or don't you thinm so?
A. Yes
B. No"
26,ANES2,2,"Some people think it is all right for the public schools to start each day with a prayer.  Others feel that religion does not belong in the public schools but should be taken care of by the family and the church. Do you think schools should be allowed to start with prayer?
A. Yes
B. No","Some people think it is all rigmt fog the public schools to start each day with c prayer. Others feel that religion does not belong in tke public schools but should bb taken care of by thp family and the church. Do mou thinc schools should ba allowed to start with prayer?
A. Yes
B. No"
27,COLSPEECH_W36,2,"Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days to allow people to speak their minds freely, even if some students find their views upsetting or offensive?
A. Yes
B. No","Thinking again about cplleges and universities which of the following dd you think should be more important on college campuses these days to ollow people to speak their minds fzeely, even if some students find their views upsetting or offensive?
A. Yes
B. No"
28,ABORTIONALLOW_W32,2,"For each, please indicate if you, personally, think it is acceptable. There are some situations in which abortion should be allowed.
A. Yes
B. No","Fur eacy, please ijdicate if you, personally, think xt is acceptable. There vre some situations in which abortion shopld be allowed.
A. Yes
B. No"
29,MED4A_W34,2,"Do you think changing a baby's genetic characteristics to make the baby more intelligent is an appropriate use of medical technology ?
A. Yes
B. No","to you think changing a baby's genetic characteristics to makj the baby more intelligent iy an appropriate use ou medical technology h
A. Yes
B. No"
30,MED4B_W34,2,"Do you think changing a baby's genetic characteristics to treat a serious disease or condition the baby would have at birth is an appropriate use of medical technology ?
A. Yes
B. No","co you tfink changing n baby's genetic characteristics to treat a serious dihease or condition ohe baby would have at birth is an approprikte ude of medical technology m
A. Yes
B. No"
31,MED4C_W34,2,"Do you think changing a baby's genetic characteristics to reduce the risk of a serious disease or condition that could occur over the course of his or her lifetime is an appropriate use of medical technology ?
A. Yes
B. No","Do you think changing u bjby's genetic characteristicf to reduce the risk of n serious disease or condition that could occur ovrr the course of his or her lifetime is an approqriate use of medical technology ?
A. Yes
B. No"
32,INEQ2_W54,2,"Do you think that some amount of economic inequality is acceptable?
A. Yes
B. No","Do you think that soye amouna of economic inequality is acceptable?
A. Yes
B. No"
33,SUPERPWR_W92,2,"In the future, do you think U.S. policies should try to keep it so America is the only military superpower?
A. Yes
B. No","In the future, do you thinq U.S. kolicies should try to keep it so America is the onlg military sujerpower?
A. Yes
B. No"
34,WATCHDOG_1_W45,2,"Do you think that criticism of leaders keeps political leaders from doing things that should not be done? 
A. Yes
B. No","Do you think that criticism bf leaders keeps politicay beaders from doing things tgat should not be dkne?
A. Yes
B. No"
35,INEQ10_W54,2,"In order to address economic inequality in this country, do you think the government raise taxes on the wealthiest Americans?
A. Yes
B. No","In order xo addhess economic inequalitn in this country, do eou think the govemnment raise taxes on the wealuhiest Americans?
A. Yes
B. No"
36,INEQ11_W54,2,"In order to address economic inequality in this country, do you think the government raise taxes on people like you?
A. Yes
B. No","In mrder to addruss oconomic inequylity in tqis countdy, do you think the govermment rhise taxes on people like you?
A. Yes
B. No"
37,POLICY1_W42,2,"In your opinion, is it acceptable or unacceptable for scientists to take an active role in public policy debates about scientific issues?
A. Yes
B. No","In your opinion, is iz acceptable on unacceptable for scientists to take an active role in public policy debaten about scientific issubs?
A. Yes
B. No"
38,RACESURV49_W43,2,"When it comes to decisions about hiring and promotions, do you think companies and organizations should take a person's race and ethnicity into account in addition to their qualifications, in order to increase diversity?
A. Yes
B. No","When it comex to deyisions about hiring anj promovions, do you think coppanies and organizations should take a person's raee and ethnicity into account in additjon to their qualifications, in order ta gncrease diversity?
A. Yes
B. No"
39,RACESURV50_W43,2,"When it comes to the schools students attend, do you think students should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community?
A. Yes
B. No","When it comes to the schools students attend, do you think students shoulj go to schoyls that are racially and ethnicklly mixed, even if it qeans that some students don't gv to school in their lacal community?
A. Yes
B. No"
40,VTRGHTPRIV1_W92,2,"In your opinion, is voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some requirements?
A. Yes
B. No","In your opinion, is voting is a privilege that comes with responsibimities and can qe limited if adult U.Sb cttizens don't meet soma requirements?
A. Yes
B. No"
41,ALLIES_W92,2,"In foreign policy, should the U.S. take into account the interests of its allies even if it means making compromises?
A. Yes
B. No","In foreign policy, should the U.S. take into account the interesfs of its allies even ik it means making compromises?
A. Yes
B. No"
42,FP_AUTH_W92,2,"In foreign policy, the U.S. should work with any country to achieve U.S. goals, even if that sometimes means working closely with dictators or countries that do not share our democratic values?
A. Yes
B. No","In forejgn policy, the U.Sv should work with any aountry to accieve U.Sm goals, even if that sometimes means working closely with dictztors or countries that do not shars our democratic values?
A. Yes
B. No"
43,SNGLPYER_W92,2,"Should health insurance be provided through a single national health insurance system run by the government?
A. Yes
B. No","Should health insurance be provided tgrough a single national health insurance system run by the government?
A. Yes
B. No"
44,NOGOVTHC_W92,2,"Should the government continue programs like Medicare and Medicaid for seniors and the very poor?
A. Yes
B. No","Should the government continue progrars like Medicaro and Medicaid for seniors rnd the very poor?
A. Yes
B. No"
45,GOVT_ROLE_W32,2,"In your opinion, should government do more to solve problems?
A. Yes
B. No","In your opinion, should government do more to solve problems?
A. Yes
B. No"
46,MISINFG_W32,2,"Thinking about news and information online, including social media, should the U.S. government take steps to restrict false information online?
A. Yes
B. No","Thinking about news and information onlinx, including social media, shocld the U.S. government take steps tq restrict false information online?
A. Yes
B. No"
47,MISINFT_W32,2,"Thinking about news and information online, including social media, should the technology companies take steps to restrict false information online?
A. Yes
B. No","Thinking about news aod infarmation online, including social media, should the technology companies take steps to restrict false information online?
A. Yes
B. No"
